Time,OH_ppm,Relative_Uncertainty,W
0.00015183,246.5510881,0.25,0.047781848
0.000152125,246.6976043,0.25,0.047781848
0.000152421,246.8387002,0.25,0.047781848
0.000152716,246.9745503,0.25,0.047781848
0.000153011,247.1053243,0.25,0.047781848
0.000153487,247.3060043,0.25,0.047781848
0.000153963,247.4945737,0.25,0.047781848
0.000154439,247.671673,0.25,0.047781848
0.000154915,247.8379138,0.25,0.047781848
0.000155391,247.9938796,0.25,0.047781848
0.000155867,248.1401266,0.25,0.047781848
0.000156343,248.2771844,0.25,0.047781848
0.00015682,248.405557,0.25,0.047781848
0.000157296,248.5257236,0.25,0.047781848
0.000157772,248.638139,0.25,0.047781848
