Time,CO_ppm,Relative_Uncertainty,W
0.0001548,144,0.05,0.028583098
0.0001552,150,0.05,0.028583098
0.0001556,146,0.05,0.028583098
0.000156,146,0.05,0.028583098
0.0001564,152,0.05,0.028583098
0.0001568,144,0.05,0.028583098
0.0001572,148,0.05,0.028583098
0.0001576,146,0.05,0.028583098
0.000158,144,0.05,0.028583098
0.0001584,153,0.05,0.028583098
0.0001588,150,0.05,0.028583098
0.0001592,148,0.05,0.028583098
0.0001596,155,0.05,0.028583098
0.00016,150,0.05,0.028583098
0.0001604,153,0.05,0.028583098
0.0001608,155,0.05,0.028583098
0.0001612,148,0.05,0.028583098
0.0001616,153,0.05,0.028583098
0.000162,153,0.05,0.028583098
0.0001624,155,0.05,0.028583098
0.0001628,155,0.05,0.028583098
0.0001632,155,0.05,0.028583098
0.0001636,161,0.05,0.028583098
0.000164,153,0.05,0.028583098
0.0001644,155,0.05,0.028583098
0.0001648,159,0.05,0.028583098
0.0001652,153,0.05,0.028583098
0.0001656,153,0.05,0.028583098
0.000166,161,0.05,0.028583098
0.0001664,161,0.05,0.028583098
0.0001668,163,0.05,0.028583098
0.0001672,163,0.05,0.028583098
0.0001676,170,0.05,0.028583098
0.000168,170,0.05,0.028583098
0.0001684,167,0.05,0.028583098
0.0001688,168,0.05,0.028583098
0.0001692,161,0.05,0.028583098
0.0001696,168,0.05,0.028583098
0.00017,174,0.05,0.028583098
0.0001704,172,0.05,0.028583098
0.0001708,170,0.05,0.028583098
0.0001712,176,0.05,0.028583098
0.0001716,176,0.05,0.028583098
0.000172,170,0.05,0.028583098
0.0001724,168,0.05,0.028583098
0.0001728,174,0.05,0.028583098
0.0001732,176,0.05,0.028583098
0.0001736,174,0.05,0.028583098
0.000174,170,0.05,0.028583098
0.0001744,165,0.05,0.028583098
0.0001748,172,0.05,0.028583098
0.0001752,174,0.05,0.028583098
0.0001756,172,0.05,0.028583098
0.000176,181,0.05,0.028583098
0.0001764,181,0.05,0.028583098
0.0001768,178,0.05,0.028583098
0.0001772,178,0.05,0.028583098
0.0001776,180,0.05,0.028583098
0.000178,180,0.05,0.028583098
0.0001784,180,0.05,0.028583098
0.0001788,185,0.05,0.028583098
0.0001792,187,0.05,0.028583098
0.0001796,180,0.05,0.028583098
0.00018,187,0.05,0.028583098
0.0001804,185,0.05,0.028583098
0.0001808,183,0.05,0.028583098
0.0001812,187,0.05,0.028583098
0.0001816,191,0.05,0.028583098
0.000182,195,0.05,0.028583098
0.0001824,191,0.05,0.028583098
0.0001828,195,0.05,0.028583098
0.0001832,200,0.05,0.028583098
0.0001836,196,0.05,0.028583098
0.000184,193,0.05,0.028583098
0.0001844,198,0.05,0.028583098
0.0001848,196,0.05,0.028583098
0.0001852,196,0.05,0.028583098
0.0001856,196,0.05,0.028583098
0.000186,206,0.05,0.028583098
0.0001864,202,0.05,0.028583098
0.0001868,196,0.05,0.028583098
0.0001872,204,0.05,0.028583098
0.0001876,202,0.05,0.028583098
0.000188,198,0.05,0.028583098
0.0001884,200,0.05,0.028583098
0.0001888,198,0.05,0.028583098
0.0001892,202,0.05,0.028583098
0.0001896,196,0.05,0.028583098
0.00019,204,0.05,0.028583098
0.0001904,212,0.05,0.028583098
0.0001908,198,0.05,0.028583098
0.0001912,196,0.05,0.028583098
0.0001916,206,0.05,0.028583098
0.000192,202,0.05,0.028583098
0.0001924,208,0.05,0.028583098
0.0001928,204,0.05,0.028583098
0.0001932,208,0.05,0.028583098
0.0001936,215,0.05,0.028583098
0.000194,213,0.05,0.028583098
0.0001944,219,0.05,0.028583098
0.0001948,206,0.05,0.028583098
0.0001952,208,0.05,0.028583098
0.0001956,215,0.05,0.028583098
0.000196,200,0.05,0.028583098
0.0001964,208,0.05,0.028583098
0.0001968,213,0.05,0.028583098
0.0001972,213,0.05,0.028583098
0.0001976,210,0.05,0.028583098
0.000198,215,0.05,0.028583098
0.0001984,213,0.05,0.028583098
0.0001988,217,0.05,0.028583098
0.0001992,221,0.05,0.028583098
0.0001996,225,0.05,0.028583098
0.0002,219,0.05,0.028583098
0.0002004,225,0.05,0.028583098
0.0002008,225,0.05,0.028583098
0.0002012,227,0.05,0.028583098
0.0002016,227,0.05,0.028583098
0.000202,232,0.05,0.028583098
0.0002024,238,0.05,0.028583098
0.0002028,232,0.05,0.028583098
0.0002032,228,0.05,0.028583098
0.0002036,238,0.05,0.028583098
0.000204,242,0.05,0.028583098
0.0002044,242,0.05,0.028583098
0.0002048,240,0.05,0.028583098
0.0002052,238,0.05,0.028583098
0.0002056,234,0.05,0.028583098
0.000206,236,0.05,0.028583098
0.0002064,236,0.05,0.028583098
0.0002068,242,0.05,0.028583098
0.0002072,242,0.05,0.028583098
0.0002076,240,0.05,0.028583098
0.000208,244,0.05,0.028583098
0.0002084,238,0.05,0.028583098
0.0002088,245,0.05,0.028583098
0.0002092,245,0.05,0.028583098
0.0002096,245,0.05,0.028583098
0.00021,247,0.05,0.028583098
0.0002104,242,0.05,0.028583098
0.0002108,244,0.05,0.028583098
0.0002112,245,0.05,0.028583098
0.0002116,242,0.05,0.028583098
0.000212,255,0.05,0.028583098
0.0002124,247,0.05,0.028583098
0.0002128,251,0.05,0.028583098
0.0002132,247,0.05,0.028583098
0.0002136,249,0.05,0.028583098
0.000214,255,0.05,0.028583098
0.0002144,249,0.05,0.028583098
0.0002148,253,0.05,0.028583098
0.0002152,247,0.05,0.028583098
0.0002156,257,0.05,0.028583098
0.000216,253,0.05,0.028583098
0.0002164,255,0.05,0.028583098
0.0002168,257,0.05,0.028583098
0.0002172,257,0.05,0.028583098
0.0002176,259,0.05,0.028583098
0.000218,255,0.05,0.028583098
0.0002184,261,0.05,0.028583098
0.0002188,261,0.05,0.028583098
0.0002192,268,0.05,0.028583098
0.0002196,259,0.05,0.028583098
0.00022,266,0.05,0.028583098
0.0002204,272,0.05,0.028583098
0.0002208,264,0.05,0.028583098
0.0002212,266,0.05,0.028583098
0.0002216,270,0.05,0.028583098
0.000222,270,0.05,0.028583098
