Time,OH_ppm,Relative_Uncertainty,W
0.00053,79.7,0.05,0.028903666
0.0005316,80.1,0.05,0.028903666
0.0005332,80.9,0.05,0.028903666
0.0005348,81.9,0.05,0.028903666
0.0005364,82,0.05,0.028903666
0.000538,82.7,0.05,0.028903666
0.0005396,83.4,0.05,0.028903666
0.0005412,84,0.05,0.028903666
0.0005428,84.5,0.05,0.028903666
0.0005444,85.3,0.05,0.028903666
0.000546,85.7,0.05,0.028903666
0.0005476,86,0.05,0.028903666
0.0005492,86.8,0.05,0.028903666
0.0005508,87.6,0.05,0.028903666
0.0005524,87.9,0.05,0.028903666
0.000554,88.4,0.05,0.028903666
0.0005556,88.7,0.05,0.028903666
0.0005572,89.3,0.05,0.028903666
0.0005588,89.7,0.05,0.028903666
0.0005604,90.2,0.05,0.028903666
0.000562,90.4,0.05,0.028903666
0.0005636,90.8,0.05,0.028903666
0.0005652,91.5,0.05,0.028903666
0.0005668,92,0.05,0.028903666
0.0005684,92.4,0.05,0.028903666
0.00057,92.7,0.05,0.028903666
0.0005716,93.1,0.05,0.028903666
0.0005732,93.6,0.05,0.028903666
0.0005748,94,0.05,0.028903666
0.0005764,94.3,0.05,0.028903666
0.000578,95,0.05,0.028903666
0.0005796,95.4,0.05,0.028903666
0.0005812,95.7,0.05,0.028903666
0.0005828,95.9,0.05,0.028903666
0.0005844,96.5,0.05,0.028903666
0.000586,97,0.05,0.028903666
0.0005876,97.5,0.05,0.028903666
0.0005892,97.5,0.05,0.028903666
0.0005908,98,0.05,0.028903666
0.0005924,98.2,0.05,0.028903666
0.000594,98.9,0.05,0.028903666
0.0005956,98.8,0.05,0.028903666
0.0005972,99.6,0.05,0.028903666
0.0005988,99.3,0.05,0.028903666
0.0006004,99.9,0.05,0.028903666
0.000602,100.1,0.05,0.028903666
0.0006036,100.3,0.05,0.028903666
0.0006052,101.1,0.05,0.028903666
0.0006068,100.8,0.05,0.028903666
0.0006084,101.4,0.05,0.028903666
0.0006088,101.3,0.05,1e-10
0.0006092,101.3,0.05,1e-10
0.0006096,101.3,0.05,1e-10
0.00061,101.7,0.05,1e-10
0.0006104,101.8,0.05,1e-10
0.0006108,101.5,0.05,1e-10
0.0006112,101.5,0.05,1e-10
0.0006116,101.6,0.05,1e-10
0.000612,102,0.05,1e-10
0.0006124,101.8,0.05,1e-10
0.0006128,101.8,0.05,1e-10
0.0006132,101.8,0.05,1e-10
0.0006136,102.1,0.05,1e-10
0.000614,102.2,0.05,1e-10
0.0006144,102.4,0.05,1e-10
0.0006148,102.2,0.05,1e-10
0.0006152,102.4,0.05,1e-10
0.0006156,102.5,0.05,1e-10
0.000616,102.6,0.05,1e-10
0.0006164,102.7,0.05,1e-10
0.0006168,102.6,0.05,1e-10
0.0006172,102.5,0.05,1e-10
0.0006176,102.6,0.05,1e-10
0.000618,102.7,0.05,1e-10
0.0006184,102.9,0.05,1e-10
0.0006188,103,0.05,1e-10
0.0006192,103.1,0.05,1e-10
0.0006196,103.3,0.05,1e-10
0.00062,103.2,0.05,1e-10
0.0006204,103.2,0.05,1e-10
