Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH2O + CH3OCH2 => CH3OCH3 + HCO,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + HCO => CH2O + CH3OCH2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + CH3OCH2 => CH3CO + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH3CO + CH3OCH3 => CH3CHO + CH3OCH2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O2 => CH3OCH2 + O2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + O2 => CH3OCH2O2,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3OCH2O2 => CH3OCH2O2H + HCO,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O2H + HCO => CH2O + CH3OCH2O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + CH3OCH2O2 => CH3CO + CH3OCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + CH3OCH2O2H => CH3CHO + CH3OCH2O2,6.93E-01,1.00E-09,1.00E-09
2 CH3OCH2O2 => 2 CH3OCH2O + O2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O2H => CH3OCH2O + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O + OH => CH3OCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O => CH2O + CH3O,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3O => CH3OCH2O,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O + O2 => CH3OCHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + HO2 => CH3OCH2O + O2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O => CH3OCHO + H,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + H => CH3OCH2O,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O2 => CH2OCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH2OCH2O2H => CH3OCH2O2,6.93E-01,1.00E-09,1.00E-09
CH2OCH2O2H => 2 CH2O + OH,6.93E-01,1.00E-09,1.00E-09
O2CH2OCH2O2H => CH2OCH2O2H + O2,6.93E-01,1.00E-09,1.00E-09
CH2OCH2O2H + O2 => O2CH2OCH2O2H,6.93E-01,1.00E-09,1.00E-09
O2CH2OCH2O2H => HO2CH2OCHO + OH,6.93E-01,1.00E-09,1.00E-09
HO2CH2OCHO + OH => O2CH2OCH2O2H,6.93E-01,1.00E-09,1.00E-09
HO2CH2OCHO => OCH2OCHO + OH,6.93E-01,1.00E-09,1.00E-09
OCH2OCHO + OH => HO2CH2OCHO,6.93E-01,1.00E-09,1.00E-09
OCH2OCHO => CH2O + OCHO,6.93E-01,1.00E-09,1.00E-09
CH2O + OCHO => OCH2OCHO,6.93E-01,1.00E-09,1.00E-09
OCH2OCHO => HOCH2OCO,6.93E-01,1.00E-09,1.00E-09
HOCH2OCO => OCH2OCHO,6.93E-01,1.00E-09,1.00E-09
HOCH2OCO => CO + HOCH2O,6.93E-01,1.00E-09,1.00E-09
CO + HOCH2O => HOCH2OCO,6.93E-01,1.00E-09,1.00E-09
HOCH2OCO => CH2OH + CO2,6.93E-01,1.00E-09,1.00E-09
CH2OH + CO2 => HOCH2OCO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO => CH2OCHO + H,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + H => CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO => CH3OCO + H,6.93E-01,1.00E-09,1.00E-09
CH3OCO + H => CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO (+M) <=> CH3OH + CO (+M),6.93E-01,1.00E-09,1.00E-09
CH3OCHO => CH3O + HCO,6.93E-01,1.00E-09,1.00E-09
CH3O + HCO => CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO => CH3 + OCHO,6.93E-01,1.00E-09,1.00E-09
CH3 + OCHO => CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + O2 => CH3OCO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3OCO + HO2 => CH3OCHO + O2,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + O2 => CH2OCHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + HO2 => CH3OCHO + O2,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + OH => CH3OCO + H2O,6.93E-01,1.00E-09,1.00E-09
CH3OCO + H2O => CH3OCHO + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + OH => CH2OCHO + H2O,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + H2O => CH3OCHO + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + HO2 => CH3OCO + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3OCO + H2O2 => CH3OCHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + HO2 => CH2OCHO + H2O2,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + H2O2 => CH3OCHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + O => CH3OCO + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCO + OH => CH3OCHO + O,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + O => CH2OCHO + OH,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + OH => CH3OCHO + O,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + H => CH3OCO + H2,6.93E-01,1.00E-09,1.00E-09
CH3OCO + H2 => CH3OCHO + H,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + H => CH2OCHO + H2,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + H2 => CH3OCHO + H,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3OCHO => CH3OCO + CH4,6.93E-01,1.00E-09,1.00E-09
CH3OCO + CH4 => CH3 + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3OCHO => CH2OCHO + CH4,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + CH4 => CH3 + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3O + CH3OCHO => CH3OCO + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH3OCO + CH3OH => CH3O + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3O + CH3OCHO => CH2OCHO + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + CH3OH => CH3O + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + CH3OCHO => CH3O2H + CH3OCO,6.93E-01,1.00E-09,1.00E-09
CH3O2H + CH3OCO => CH3O2 + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + CH3OCHO => CH2OCHO + CH3O2H,6.93E-01,1.00E-09,1.00E-09
CH2OCHO + CH3O2H => CH3O2 + CH3OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + HCO => CH2O + CH3OCO,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3OCO => CH3OCHO + HCO,6.93E-01,1.00E-09,1.00E-09
CH3OCHO + HCO => CH2O + CH2OCHO,6.93E-01,1.00E-09,1.00E-09
CH2O + CH2OCHO => CH3OCHO + HCO,6.93E-01,1.00E-09,1.00E-09
CH2OCHO => CH3OCO,6.93E-01,1.00E-09,1.00E-09
CH3OCO => CH2OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCO => CH3 + CO2,6.93E-01,1.00E-09,1.00E-09
CH3 + CO2 => CH3OCO,6.93E-01,1.00E-09,1.00E-09
CH3OCO => CH3O + CO,6.93E-01,1.00E-09,1.00E-09
CH3O + CO => CH3OCO,6.93E-01,1.00E-09,1.00E-09
CH2OCHO => CH2O + HCO,6.93E-01,1.00E-09,1.00E-09
CH2O + HCO => CH2OCHO,6.93E-01,1.00E-09,1.00E-09
C3H8 (+M) <=> C2H5 + CH3 (+M),6.93E-01,1.00E-09,1.00E-09
C3H8 => H + NC3H7,6.93E-01,1.00E-09,1.00E-09
H + NC3H7 => C3H8,6.93E-01,1.00E-09,1.00E-09
C3H8 => H + IC3H7,6.93E-01,1.00E-09,1.00E-09
H + IC3H7 => C3H8,6.93E-01,1.00E-09,1.00E-09
C3H8 + O2 => HO2 + IC3H7,6.93E-01,1.00E-09,1.00E-09
HO2 + IC3H7 => C3H8 + O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + O2 => HO2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7 => C3H8 + O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + H => H2 + IC3H7,6.93E-01,1.00E-09,1.00E-09
H2 + IC3H7 => C3H8 + H,6.93E-01,1.00E-09,1.00E-09
C3H8 + H => H2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
H2 + NC3H7 => C3H8 + H,6.93E-01,1.00E-09,1.00E-09
C3H8 + O => IC3H7 + OH,6.93E-01,1.00E-09,1.00E-09
IC3H7 + OH => C3H8 + O,6.93E-01,1.00E-09,1.00E-09
C3H8 + O => NC3H7 + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7 + OH => C3H8 + O,6.93E-01,1.00E-09,1.00E-09
C3H8 + OH => H2O + NC3H7,6.93E-01,1.00E-09,1.00E-09
H2O + NC3H7 => C3H8 + OH,6.93E-01,1.00E-09,1.00E-09
C3H8 + OH => H2O + IC3H7,6.93E-01,1.00E-09,1.00E-09
H2O + IC3H7 => C3H8 + OH,6.93E-01,1.00E-09,1.00E-09
C3H8 + HO2 => H2O2 + IC3H7,6.93E-01,1.00E-09,1.00E-09
H2O2 + IC3H7 => C3H8 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H8 + HO2 => H2O2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
H2O2 + NC3H7 => C3H8 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3 => CH4 + IC3H7,6.93E-01,1.00E-09,1.00E-09
CH4 + IC3H7 => C3H8 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3 => CH4 + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH4 + NC3H7 => C3H8 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H8 + IC3H7 => C3H8 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C3H8 + NC3H7 => C3H8 + IC3H7,6.93E-01,1.00E-09,1.00E-09
C2H3 + C3H8 => C2H4 + IC3H7,6.93E-01,1.00E-09,1.00E-09
C2H4 + IC3H7 => C2H3 + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H3 + C3H8 => C2H4 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H4 + NC3H7 => C2H3 + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H5 + C3H8 => C2H6 + IC3H7,6.93E-01,1.00E-09,1.00E-09
C2H6 + IC3H7 => C2H5 + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H5 + C3H8 => C2H6 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H6 + NC3H7 => C2H5 + C3H8,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C3H8 => C3H6 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C3H6 + NC3H7 => C3H5-A + C3H8,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C3H8 => C3H6 + IC3H7,6.93E-01,1.00E-09,1.00E-09
C3H6 + IC3H7 => C3H5-A + C3H8,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3O => CH3OH + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH3OH + NC3H7 => C3H8 + CH3O,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3O => CH3OH + IC3H7,6.93E-01,1.00E-09,1.00E-09
CH3OH + IC3H7 => C3H8 + CH3O,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3O2 => CH3O2H + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH3O2H + NC3H7 => C3H8 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3O2 => CH3O2H + IC3H7,6.93E-01,1.00E-09,1.00E-09
CH3O2H + IC3H7 => C3H8 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C3H8 => C2H5O2H + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + NC3H7 => C2H5O2 + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C3H8 => C2H5O2H + IC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + IC3H7 => C2H5O2 + C3H8,6.93E-01,1.00E-09,1.00E-09
C3H8 + NC3H7O2 => NC3H7 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
NC3H7 + NC3H7O2H => C3H8 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + NC3H7O2 => IC3H7 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
IC3H7 + NC3H7O2H => C3H8 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + IC3H7O2 => IC3H7O2H + NC3H7,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H + NC3H7 => C3H8 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + IC3H7O2 => IC3H7 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
IC3H7 + IC3H7O2H => C3H8 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3CO3 => CH3CO3H + IC3H7,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + IC3H7 => C3H8 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C3H8 + CH3CO3 => CH3CO3H + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + NC3H7 => C3H8 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C3H8 + O2CHO => HO2CHO + NC3H7,6.93E-01,1.00E-09,1.00E-09
HO2CHO + NC3H7 => C3H8 + O2CHO,6.93E-01,1.00E-09,1.00E-09
C3H8 + O2CHO => HO2CHO + IC3H7,6.93E-01,1.00E-09,1.00E-09
HO2CHO + IC3H7 => C3H8 + O2CHO,6.93E-01,1.00E-09,1.00E-09
IC3H7 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => IC3H7,6.93E-01,1.00E-09,1.00E-09
H + IC3H7 => C2H5 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH3 => H + IC3H7,6.93E-01,1.00E-09,1.00E-09
IC3H7 + O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => IC3H7 + O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + OH => C3H6 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6 + H2O => IC3H7 + OH,6.93E-01,1.00E-09,1.00E-09
IC3H7 + O => CH3COCH3 + H,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + H => IC3H7 + O,6.93E-01,1.00E-09,1.00E-09
IC3H7 + O => CH3 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CHO => IC3H7 + O,6.93E-01,1.00E-09,1.00E-09
NC3H7 => C2H4 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3 => NC3H7,6.93E-01,1.00E-09,1.00E-09
NC3H7 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => NC3H7,6.93E-01,1.00E-09,1.00E-09
NC3H7 + O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => NC3H7 + O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + NC3H7 => C2H5CO + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C3H8 => C2H5CHO + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + IC3H7 => C2H5CO + C3H8,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C3H8 => C2H5CHO + IC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + C3H5-A => C2H5CO + C3H6,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C3H6 => C2H5CHO + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3 (+M) <=> C3H6 (+M),6.93E-01,1.00E-09,1.00E-09
C3H6 => C3H5-A + H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + H => C3H6,6.93E-01,1.00E-09,1.00E-09
C3H6 => C3H5-S + H,6.93E-01,1.00E-09,1.00E-09
C3H5-S + H => C3H6,6.93E-01,1.00E-09,1.00E-09
C3H6 => C3H5-T + H,6.93E-01,1.00E-09,1.00E-09
C3H5-T + H => C3H6,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => C2H5 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H5 + HCO => C3H6 + O,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => CH2CO + CH3 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => CH3CHCO + 2 H,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => C3H5-A + OH,6.93E-01,1.00E-09,1.00E-09
C3H5-A + OH => C3H6 + O,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => C3H5-S + OH,6.93E-01,1.00E-09,1.00E-09
C3H5-S + OH => C3H6 + O,6.93E-01,1.00E-09,1.00E-09
C3H6 + O => C3H5-T + OH,6.93E-01,1.00E-09,1.00E-09
C3H5-T + OH => C3H6 + O,6.93E-01,1.00E-09,1.00E-09
C3H6 + OH => C3H5-A + H2O,6.93E-01,1.00E-09,1.00E-09
C3H5-A + H2O => C3H6 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6 + OH => C3H5-S + H2O,6.93E-01,1.00E-09,1.00E-09
C3H5-S + H2O => C3H6 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6 + OH => C3H5-T + H2O,6.93E-01,1.00E-09,1.00E-09
C3H5-T + H2O => C3H6 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H5-A + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + H2O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H5-S + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H5-S + H2O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H5-T + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + H2O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => C3H5-A + H2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + H2 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => C3H5-S + H2,6.93E-01,1.00E-09,1.00E-09
C3H5-S + H2 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => C3H5-T + H2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + H2 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + H => C2H4 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3 => C3H6 + H,6.93E-01,1.00E-09,1.00E-09
C3H6 + O2 => C3H5-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + HO2 => C3H6 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + O2 => C3H5-S + HO2,6.93E-01,1.00E-09,1.00E-09
C3H5-S + HO2 => C3H6 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + O2 => C3H5-T + HO2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + HO2 => C3H6 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3 => C3H5-A + CH4,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH4 => C3H6 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3 => C3H5-S + CH4,6.93E-01,1.00E-09,1.00E-09
C3H5-S + CH4 => C3H6 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3 => C3H5-T + CH4,6.93E-01,1.00E-09,1.00E-09
C3H5-T + CH4 => C3H6 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C3H6 => C2H6 + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H6 + C3H5-A => C2H5 + C3H6,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3CO3 => C3H5-A + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH3CO3H => C3H6 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3O2 => C3H5-A + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH3O2H => C3H6 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H6O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + OH => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C3H6 => C2H5O2H + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + C3H5-A => C2H5O2 + C3H6,6.93E-01,1.00E-09,1.00E-09
C3H6 + NC3H7O2 => C3H5-A + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + NC3H7O2H => C3H6 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + IC3H7O2 => C3H5-A + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + IC3H7O2H => C3H6 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H6OH => C3H6 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6 + OH => C3H6OH,6.93E-01,1.00E-09,1.00E-09
HOC3H6O2 => C3H6OH + O2,6.93E-01,1.00E-09,1.00E-09
C3H6OH + O2 => HOC3H6O2,6.93E-01,1.00E-09,1.00E-09
HOC3H6O2 => CH2O + CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
C3H5-A => C2H2 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH3 => C3H5-A,6.93E-01,1.00E-09,1.00E-09
C3H5-A => C3H4-A + H,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H => C3H5-A,6.93E-01,1.00E-09,1.00E-09
C3H5-A + HO2 => C3H5O + OH,6.93E-01,1.00E-09,1.00E-09
C3H5O + OH => C3H5-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH3O2 => C3H5O + CH3O,6.93E-01,1.00E-09,1.00E-09
C3H5O + CH3O => C3H5-A + CH3O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + H => C3H4-A + H2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H2 => C3H5-A + H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH3 => C3H4-A + CH4,6.93E-01,1.00E-09,1.00E-09
C3H4-A + CH4 => C3H5-A + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C3H5-A => C2H6 + C3H4-A,6.93E-01,1.00E-09,1.00E-09
C2H6 + C3H4-A => C2H5 + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H5 + C3H5-A => C2H4 + C3H6,6.93E-01,1.00E-09,1.00E-09
C2H4 + C3H6 => C2H5 + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H3 + C3H5-A => C2H4 + C3H4-A,6.93E-01,1.00E-09,1.00E-09
C2H4 + C3H4-A => C2H3 + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C3H4-A + C3H6 => 2 C3H5-A,6.93E-01,1.00E-09,1.00E-09
2 C3H5-A => C3H4-A + C3H6,6.93E-01,1.00E-09,1.00E-09
C3H5-A + O2 => C3H4-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + HO2 => C3H5-A + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + O2 => CH2CHO + CH2O,6.93E-01,1.00E-09,1.00E-09
CH2CHO + CH2O => C3H5-A + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + O2 => C2H3CHO + OH,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + OH => C3H5-A + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + O2 => C2H2 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3H5-S => C2H2 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH3 => C3H5-S,6.93E-01,1.00E-09,1.00E-09
C3H5-S => C3H4-P + H,6.93E-01,1.00E-09,1.00E-09
C3H4-P + H => C3H5-S,6.93E-01,1.00E-09,1.00E-09
C3H5-S + O2 => CH3CHO + HCO,6.93E-01,1.00E-09,1.00E-09
CH3CHO + HCO => C3H5-S + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-S + H => C3H4-A + H2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H2 => C3H5-S + H,6.93E-01,1.00E-09,1.00E-09
C3H5-S + CH3 => C3H4-A + CH4,6.93E-01,1.00E-09,1.00E-09
C3H4-A + CH4 => C3H5-S + CH3,6.93E-01,1.00E-09,1.00E-09
C3H5-T => C2H2 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH3 => C3H5-T,6.93E-01,1.00E-09,1.00E-09
C3H5-T => C3H4-A + H,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H => C3H5-T,6.93E-01,1.00E-09,1.00E-09
C3H5-T => C3H4-P + H,6.93E-01,1.00E-09,1.00E-09
C3H4-P + H => C3H5-T,6.93E-01,1.00E-09,1.00E-09
C3H5-T + O2 => C3H4-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + HO2 => C3H5-T + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + O2 => CH3COCH2 + O,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + O => C3H5-T + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + O2 => CH2O + CH3CO,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3CO => C3H5-T + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-T + H => C3H4-P + H2,6.93E-01,1.00E-09,1.00E-09
C3H4-P + H2 => C3H5-T + H,6.93E-01,1.00E-09,1.00E-09
C3H5-T + CH3 => C3H4-P + CH4,6.93E-01,1.00E-09,1.00E-09
C3H4-P + CH4 => C3H5-T + CH3,6.93E-01,1.00E-09,1.00E-09
C3H4-A + M => C3H3 + H + M,6.93E-01,1.00E-09,1.00E-09
C3H3 + H + M => C3H4-A + M,6.93E-01,1.00E-09,1.00E-09
C3H4-A => C3H4-P,6.93E-01,1.00E-09,1.00E-09
C3H4-P => C3H4-A,6.93E-01,1.00E-09,1.00E-09
C3H4-A + O2 => C3H3 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H3 + HO2 => C3H4-A + O2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + HO2 => CH2 + CH2CO + OH,6.93E-01,1.00E-09,1.00E-09
CH2 + CH2CO + OH => C3H4-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + OH => CH2CO + CH3,6.93E-01,1.00E-09,1.00E-09
CH2CO + CH3 => C3H4-A + OH,6.93E-01,1.00E-09,1.00E-09
C3H4-A + OH => C3H3 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H3 + H2O => C3H4-A + OH,6.93E-01,1.00E-09,1.00E-09
C3H4-A + O => C2H4 + CO,6.93E-01,1.00E-09,1.00E-09
C2H4 + CO => C3H4-A + O,6.93E-01,1.00E-09,1.00E-09
C3H4-A + O => C2H2 + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH2O => C3H4-A + O,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H => C3H3 + H2,6.93E-01,1.00E-09,1.00E-09
C3H3 + H2 => C3H4-A + H,6.93E-01,1.00E-09,1.00E-09
C3H4-A + CH3 => C3H3 + CH4,6.93E-01,1.00E-09,1.00E-09
