Time,CO_ppm,Relative_Uncertainty,W
0.00012119999999999999,22,0.05,0.020336296
0.0001216,31,0.05,0.020336296
0.000122,29,0.05,0.020336296
0.0001224,29,0.05,0.020336296
0.0001228,29,0.05,0.020336296
0.00012319999999999999,29,0.05,0.020336296
0.0001236,31,0.05,0.020336296
0.000124,31,0.05,0.020336296
0.0001244,26,0.05,0.020336296
0.0001248,31,0.05,0.020336296
0.0001252,22,0.05,0.020336296
0.0001256,22,0.05,0.020336296
0.000126,29,0.05,0.020336296
0.0001264,14,0.05,0.020336296
0.0001268,27,0.05,0.020336296
0.0001272,26,0.05,0.020336296
0.0001276,24,0.05,0.020336296
0.000128,32,0.05,0.020336296
0.0001284,29,0.05,0.020336296
0.00012880000000000001,27,0.05,0.020336296
0.00012919999999999997,34,0.05,0.020336296
0.0001296,27,0.05,0.020336296
0.00013000000000000002,26,0.05,0.020336296
0.0001304,24,0.05,0.020336296
0.0001308,27,0.05,0.020336296
0.0001312,24,0.05,0.020336296
0.00013159999999999997,22,0.05,0.020336296
0.000132,26,0.05,0.020336296
0.00013240000000000002,29,0.05,0.020336296
0.0001328,26,0.05,0.020336296
0.00013319999999999999,32,0.05,0.020336296
0.0001336,31,0.05,0.020336296
0.000134,31,0.05,0.020336296
0.00013440000000000001,27,0.05,0.020336296
0.0001348,34,0.05,0.020336296
0.00013519999999999998,31,0.05,0.020336296
0.0001356,29,0.05,0.020336296
0.000136,29,0.05,0.020336296
0.0001364,29,0.05,0.020336296
0.00013680000000000002,35,0.05,0.020336296
0.0001372,31,0.05,0.020336296
0.00013759999999999998,35,0.05,0.020336296
0.000138,26,0.05,0.020336296
0.0001384,27,0.05,0.020336296
0.0001388,31,0.05,0.020336296
0.0001392,29,0.05,0.020336296
0.00013959999999999998,31,0.05,0.020336296
0.00014,29,0.05,0.020336296
0.00014040000000000002,32,0.05,0.020336296
0.0001408,35,0.05,0.020336296
0.0001412,22,0.05,0.020336296
0.0001416,31,0.05,0.020336296
0.00014199999999999998,31,0.05,0.020336296
0.00014240000000000002,34,0.05,0.020336296
