Time,OH_ppm,Relative_Uncertainty,W
0.0006516,1.8,0.05,0.014975498
0.0006532,1.9,0.05,0.014975498
0.0006548,1.9,0.05,0.014975498
0.0006564,1.5,0.05,0.014975498
0.000658,1.9,0.05,0.014975498
0.0006596,1.9,0.05,0.014975498
0.0006612,1.8,0.05,0.014975498
0.0006628,2.1,0.05,0.014975498
0.0006644,1.9,0.05,0.014975498
0.000666,1.9,0.05,0.014975498
0.0006676,2,0.05,0.014975498
0.0006692,1.9,0.05,0.014975498
0.0006708,1.9,0.05,0.014975498
0.0006724,1.5,0.05,0.014975498
0.000674,1.5,0.05,0.014975498
0.0006756,1.4,0.05,0.014975498
0.0006772,1.5,0.05,0.014975498
0.0006788,1.6,0.05,0.014975498
0.0006804,1.5,0.05,0.014975498
0.000682,1.7,0.05,0.014975498
0.0006836,1.6,0.05,0.014975498
0.0006852,1.9,0.05,0.014975498
0.0006868,1.8,0.05,0.014975498
0.0006884,1.6,0.05,0.014975498
0.00069,1.7,0.05,0.014975498
0.0006916,1.6,0.05,0.014975498
0.0006932,1.9,0.05,0.014975498
0.0006948,2,0.05,0.014975498
0.0006964,1.8,0.05,0.014975498
0.000698,1.8,0.05,0.014975498
0.0006996,1.9,0.05,0.014975498
0.0007012,1.8,0.05,0.014975498
0.0007028,2,0.05,0.014975498
0.0007044,1.9,0.05,0.014975498
0.000706,2.1,0.05,0.014975498
0.0007076,2.6,0.05,0.014975498
0.0007092,2.5,0.05,0.014975498
0.0007108,2.6,0.05,0.014975498
0.0007124,2.6,0.05,0.014975498
0.000714,2.4,0.05,0.014975498
0.0007156,2.3,0.05,0.014975498
0.0007172,2.4,0.05,0.014975498
0.0007188,2.2,0.05,0.014975498
0.0007204,2.6,0.05,0.014975498
0.000722,2.4,0.05,0.014975498
0.0007236,2.5,0.05,0.014975498
0.0007252,2.4,0.05,0.014975498
0.0007268,2.8,0.05,0.014975498
0.0007284,2.9,0.05,0.014975498
0.00073,2.4,0.05,0.014975498
0.0007316,2.9,0.05,0.014975498
0.0007332,3,0.05,0.014975498
0.0007348,2.8,0.05,0.014975498
0.0007364,2.6,0.05,0.014975498
0.000738,2.8,0.05,0.014975498
0.0007396,2.9,0.05,0.014975498
0.0007412,2.8,0.05,0.014975498
0.0007428,2.8,0.05,0.014975498
0.0007444,2.8,0.05,0.014975498
0.000746,2.5,0.05,0.014975498
0.0007476,2.8,0.05,0.014975498
0.0007492,2.7,0.05,0.014975498
0.0007508,2.9,0.05,0.014975498
0.0007524,2.8,0.05,0.014975498
0.000754,3,0.05,0.014975498
0.0007556,3.1,0.05,0.014975498
0.0007572,3.2,0.05,0.014975498
0.0007588,2.8,0.05,0.014975498
0.0007604,3,0.05,0.014975498
0.000762,3,0.05,0.014975498
0.0007636,3.1,0.05,0.014975498
0.0007652,3.2,0.05,0.014975498
0.0007668,3.1,0.05,0.014975498
0.0007684,3.3,0.05,0.014975498
0.00077,3.1,0.05,0.014975498
0.0007716,3.3,0.05,0.014975498
0.0007732,3.4,0.05,0.014975498
0.0007748,3.4,0.05,0.014975498
0.0007764,3.6,0.05,0.014975498
0.000778,3.7,0.05,0.014975498
0.0007796,3.5,0.05,0.014975498
0.0007812,3.8,0.05,0.014975498
0.0007828,3.7,0.05,0.014975498
0.0007844,3.6,0.05,0.014975498
0.000786,3.9,0.05,0.014975498
0.0007876,3.7,0.05,0.014975498
0.0007892,3.6,0.05,0.014975498
0.0007908,3.9,0.05,0.014975498
0.0007924,3.9,0.05,0.014975498
0.000794,4,0.05,0.014975498
0.0007956,4.1,0.05,0.014975498
0.0007972,4.5,0.05,0.014975498
0.0007988,4.3,0.05,0.014975498
0.0008004,4.4,0.05,0.014975498
0.000802,4.3,0.05,0.014975498
0.0008036,4.4,0.05,0.014975498
0.0008052,4.3,0.05,0.014975498
0.0008068,4.3,0.05,0.014975498
0.0008084,4.2,0.05,0.014975498
0.00081,4.4,0.05,0.014975498
0.0008116,4.5,0.05,0.014975498
0.0008132,4.2,0.05,0.014975498
0.0008148,4.6,0.05,0.014975498
0.0008164,4.6,0.05,0.014975498
0.000818,4.7,0.05,0.014975498
0.0008196,4.8,0.05,0.014975498
0.0008212,4.7,0.05,0.014975498
0.0008228,4.8,0.05,0.014975498
0.0008244,4.8,0.05,0.014975498
0.000826,5,0.05,0.014975498
0.0008276,4.9,0.05,0.014975498
0.0008292,5.2,0.05,0.014975498
0.0008308,4.9,0.05,0.014975498
0.0008324,4.8,0.05,0.014975498
0.000834,4.6,0.05,0.014975498
0.0008356,5.1,0.05,0.014975498
0.0008372,4.8,0.05,0.014975498
0.0008388,5,0.05,0.014975498
0.0008404,5,0.05,0.014975498
0.000842,5.2,0.05,0.014975498
0.0008436,5.4,0.05,0.014975498
0.0008452,5.3,0.05,0.014975498
0.0008468,5.3,0.05,0.014975498
0.000866,5.5,0.05,0.014975498
0.0008676,5.4,0.05,0.014975498
0.0008692,5.2,0.05,0.014975498
0.0008708,5.4,0.05,0.014975498
0.0008724,5.4,0.05,0.014975498
0.000874,5.3,0.05,0.014975498
0.0008756,5.1,0.05,0.014975498
0.0008772,5.7,0.05,0.014975498
0.0008788,5.3,0.05,0.014975498
0.0008804,5.3,0.05,0.014975498
0.000882,5.5,0.05,0.014975498
0.0008836,5.8,0.05,0.014975498
0.0008852,5.9,0.05,0.014975498
0.0008868,5.9,0.05,0.014975498
0.0008884,6,0.05,0.014975498
0.00089,6,0.05,0.014975498
0.0008916,6.1,0.05,0.014975498
0.0008932,6.3,0.05,0.014975498
0.0008948,6.1,0.05,0.014975498
0.0008964,6.4,0.05,0.014975498
0.000898,6.3,0.05,0.014975498
0.0008996,6.2,0.05,0.014975498
0.0009012,6.1,0.05,0.014975498
0.0009028,6.2,0.05,0.014975498
0.0009044,6.5,0.05,0.014975498
0.000906,6.5,0.05,0.014975498
0.0009076,6.3,0.05,0.014975498
0.0009092,6.6,0.05,0.014975498
0.0009108,6.7,0.05,0.014975498
0.0009124,6.6,0.05,0.014975498
0.000914,6.8,0.05,0.014975498
0.0009156,6.8,0.05,0.014975498
0.0009172,6.9,0.05,0.014975498
0.0009188,6.8,0.05,0.014975498
0.0009204,6.6,0.05,0.014975498
0.000922,6.8,0.05,0.014975498
0.0009236,7,0.05,0.014975498
0.0009252,7.1,0.05,0.014975498
0.0009268,7.3,0.05,0.014975498
0.0009284,7.1,0.05,0.014975498
0.00093,7.4,0.05,0.014975498
0.0009316,7.6,0.05,0.014975498
0.0009332,7.8,0.05,0.014975498
0.0009348,7.6,0.05,0.014975498
0.0009364,7.3,0.05,0.014975498
0.000938,7.5,0.05,0.014975498
0.0009396,7.5,0.05,0.014975498
0.0009412,7.6,0.05,0.014975498
0.0009428,7.8,0.05,0.014975498
0.0009444,7.5,0.05,0.014975498
0.000946,7.8,0.05,0.014975498
0.0009476,7.8,0.05,0.014975498
0.0009492,7.8,0.05,0.014975498
0.0009508,8,0.05,0.014975498
0.0009524,8.1,0.05,0.014975498
0.000954,7.9,0.05,0.014975498
0.0009556,8.2,0.05,0.014975498
0.0009572,8.1,0.05,0.014975498
0.0009588,7.8,0.05,0.014975498
0.0009604,7.8,0.05,0.014975498
0.000962,7.9,0.05,0.014975498
0.0009636,8,0.05,0.014975498
0.0009652,7.9,0.05,0.014975498
0.0009668,8,0.05,0.014975498
0.0009684,8,0.05,0.014975498
0.00097,8.5,0.05,0.014975498
0.0009716,8.4,0.05,0.014975498
0.0009732,8.5,0.05,0.014975498
0.0009748,8.6,0.05,0.014975498
0.0009764,8.6,0.05,0.014975498
0.000978,8.8,0.05,0.014975498
0.0009796,8.7,0.05,0.014975498
0.0009812,8.5,0.05,0.014975498
0.0009828,8.5,0.05,0.014975498
0.0009844,8.6,0.05,0.014975498
0.000986,8.5,0.05,0.014975498
0.0009876,8.9,0.05,0.014975498
0.0009892,8.5,0.05,0.014975498
0.0009908,8.9,0.05,0.014975498
0.0009924,8.8,0.05,0.014975498
0.000994,9,0.05,0.014975498
0.0009956,9,0.05,0.014975498
0.0009972,9.2,0.05,0.014975498
0.0009988,9,0.05,0.014975498
0.0010004,9.2,0.05,0.014975498
0.001002,9.2,0.05,0.014975498
0.0010036,9.3,0.05,0.014975498
0.0010052,9.3,0.05,0.014975498
0.0010068,9.1,0.05,0.014975498
0.0010084,9.3,0.05,0.014975498
0.00101,9.3,0.05,0.014975498
0.0010116,9.4,0.05,0.014975498
0.0010132,9.4,0.05,0.014975498
0.0010148,9.6,0.05,0.014975498
0.0010164,9.7,0.05,0.014975498
0.001018,9.9,0.05,0.014975498
0.0010196,10,0.05,0.014975498
0.0010212,10.5,0.05,0.014975498
0.0010228,10.3,0.05,0.014975498
0.0010244,10.1,0.05,0.014975498
0.001026,10.2,0.05,0.014975498
0.0010276,10.3,0.05,0.014975498
0.0010292,10.3,0.05,0.014975498
0.0010308,10.1,0.05,0.014975498
0.0010324,10.5,0.05,0.014975498
0.001034,10.3,0.05,0.014975498
0.0010356,10.1,0.05,0.014975498
0.0010372,10.5,0.05,0.014975498
0.0010388,10.8,0.05,0.014975498
0.0010404,10.8,0.05,0.014975498
0.001042,11.2,0.05,0.014975498
0.0010436,11.1,0.05,0.014975498
0.0010452,11,0.05,0.014975498
0.0010468,10.7,0.05,0.014975498
0.0010484,11.1,0.05,0.014975498
0.00105,10.9,0.05,0.014975498
0.0010516,11.1,0.05,0.014975498
0.0010532,10.9,0.05,0.014975498
0.0010548,11.1,0.05,0.014975498
0.0010564,11.1,0.05,0.014975498
0.001058,11.2,0.05,0.014975498
0.0010596,10.9,0.05,0.014975498
0.0010612,11.4,0.05,0.014975498
0.0010628,11.4,0.05,0.014975498
0.0010644,11.6,0.05,0.014975498
0.001066,11.3,0.05,0.014975498
0.0010676,11.3,0.05,0.014975498
0.0010692,11.9,0.05,0.014975498
0.0010708,11.4,0.05,0.014975498
0.0010724,11.8,0.05,0.014975498
0.001074,11.5,0.05,0.014975498
0.0010756,11.6,0.05,0.014975498
0.0010772,11.8,0.05,0.014975498
0.0010788,11.5,0.05,0.014975498
0.0010804,11.9,0.05,0.014975498
0.001082,12,0.05,0.014975498
0.0010836,12.4,0.05,0.014975498
0.0010852,12.5,0.05,0.014975498
0.0010868,12.2,0.05,0.014975498
0.0010884,12.2,0.05,0.014975498
0.00109,12.4,0.05,0.014975498
0.0010916,12.2,0.05,0.014975498
0.0010932,12.3,0.05,0.014975498
0.0010948,12.2,0.05,0.014975498
0.0010964,12.4,0.05,0.014975498
0.001098,12.4,0.05,0.014975498
0.0010996,12.3,0.05,0.014975498
0.0011012,12.6,0.05,0.014975498
0.0011028,12.5,0.05,0.014975498
0.0011044,12.8,0.05,0.014975498
0.001106,13,0.05,0.014975498
0.0011076,12.7,0.05,0.014975498
0.0011092,12.9,0.05,0.014975498
0.0011108,12.9,0.05,0.014975498
0.0011124,12.9,0.05,0.014975498
0.001114,12.9,0.05,0.014975498
0.0011156,12.9,0.05,0.014975498
0.0011172,12.8,0.05,0.014975498
0.0011188,12.6,0.05,0.014975498
0.0011204,12.9,0.05,0.014975498
0.001122,12.9,0.05,0.014975498
0.0011236,13.4,0.05,0.014975498
0.0011252,13.1,0.05,0.014975498
0.0011268,13.4,0.05,0.014975498
0.0011284,13.5,0.05,0.014975498
0.00113,13.5,0.05,0.014975498
0.0011316,13.6,0.05,0.014975498
0.0011332,13.6,0.05,0.014975498
0.0011348,13.4,0.05,0.014975498
0.0011364,13.3,0.05,0.014975498
0.001138,13.5,0.05,0.014975498
0.0011396,13.5,0.05,0.014975498
0.0011412,13.6,0.05,0.014975498
0.0011428,13.6,0.05,0.014975498
0.0011444,13.7,0.05,0.014975498
0.001146,13.8,0.05,0.014975498
0.0011652,14.4,0.05,0.014975498
0.0011668,14.4,0.05,0.014975498
0.0011684,14.4,0.05,0.014975498
0.00117,14.6,0.05,0.014975498
0.0011716,14.7,0.05,0.014975498
0.0011732,14.9,0.05,0.014975498
0.0011748,15,0.05,0.014975498
0.0011764,14.9,0.05,0.014975498
0.001178,15,0.05,0.014975498
0.0011796,14.9,0.05,0.014975498
0.0011812,15,0.05,0.014975498
0.0011828,14.9,0.05,0.014975498
0.0011844,14.9,0.05,0.014975498
0.001186,15,0.05,0.014975498
0.0011876,15.4,0.05,0.014975498
0.0011892,15.1,0.05,0.014975498
0.0011908,15.5,0.05,0.014975498
0.0011924,15.7,0.05,0.014975498
0.001194,15.6,0.05,0.014975498
0.0011956,15.8,0.05,0.014975498
0.0011972,15.7,0.05,0.014975498
0.0011988,15.7,0.05,0.014975498
0.001218,16.6,0.05,0.014975498
0.0012196,16.7,0.05,0.014975498
0.0012212,16.6,0.05,0.014975498
0.0012228,16.7,0.05,0.014975498
0.0012244,16.6,0.05,0.014975498
0.001226,16.7,0.05,0.014975498
0.0012276,16.6,0.05,0.014975498
0.0012292,16.8,0.05,0.014975498
0.0012308,16.7,0.05,0.014975498
0.0012324,16.8,0.05,0.014975498
0.001234,17.1,0.05,0.014975498
0.0012356,17.2,0.05,0.014975498
0.0012372,17.2,0.05,0.014975498
0.0012388,17.1,0.05,0.014975498
0.0012404,17.3,0.05,0.014975498
0.001242,17.6,0.05,0.014975498
0.0012436,17.7,0.05,0.014975498
0.0012452,18,0.05,0.014975498
0.0012468,17.6,0.05,0.014975498
0.0012484,17.6,0.05,0.014975498
0.00125,17.6,0.05,0.014975498
0.0012516,17.7,0.05,0.014975498
0.0012532,17.9,0.05,0.014975498
0.0012548,18,0.05,0.014975498
0.0012564,17.9,0.05,0.014975498
0.001258,18,0.05,0.014975498
0.0012596,18.3,0.05,0.014975498
0.0012612,18.2,0.05,0.014975498
0.0012628,18.3,0.05,0.014975498
0.0012644,18.4,0.05,0.014975498
0.001266,18.5,0.05,0.014975498
