Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
374,4.5356E+13,,374,4.54516E+13,,,,,,,,,,,,,,
375,4.53712E+13,,375,4.54947E+13,,,,,,,,,,,,,,
376,4.53865E+13,,376,4.55376E+13,,,,,,,,,,,,,,
377,4.54017E+13,,377,4.55805E+13,,,,,,,,,,,,,,
378,4.5417E+13,,378,4.56233E+13,,,,,,,,,,,,,,
379,4.54323E+13,,379,4.5666E+13,,,,,,,,,,,,,,
380,4.54476E+13,,380,4.57086E+13,,,,,,,,,,,,,,
381,4.54629E+13,,381,4.5751E+13,,,,,,,,,,,,,,
382,4.54782E+13,,382,4.57935E+13,,,,,,,,,,,,,,
383,4.54936E+13,,383,4.58358E+13,,,,,,,,,,,,,,
384,4.5509E+13,,384,4.5878E+13,,,,,,,,,,,,,,
385,4.55243E+13,,385,4.59201E+13,,,,,,,,,,,,,,
386,4.55397E+13,,386,4.59622E+13,,,,,,,,,,,,,,
387,4.55552E+13,,387,4.60041E+13,,,,,,,,,,,,,,
388,4.55706E+13,,388,4.6046E+13,,,,,,,,,,,,,,
389,4.5586E+13,,389,4.60878E+13,,,,,,,,,,,,,,
390,4.56015E+13,,390,4.61295E+13,,,,,,,,,,,,,,
391,4.5617E+13,,391,4.61711E+13,,,,,,,,,,,,,,
392,4.56325E+13,,392,4.62126E+13,,,,,,,,,,,,,,
393,4.5648E+13,,393,4.6254E+13,,,,,,,,,,,,,,
394,4.56635E+13,,394,4.62954E+13,,,,,,,,,,,,,,
395,4.5679E+13,,395,4.63367E+13,,,,,,,,,,,,,,
396,4.56946E+13,,396,4.63778E+13,,,,,,,,,,,,,,
397,4.57101E+13,,397,4.64189E+13,,,,,,,,,,,,,,
398,4.57257E+13,,398,4.64599E+13,,,,,,,,,,,,,,
399,4.57413E+13,,399,4.65009E+13,,,,,,,,,,,,,,
400,4.57568E+13,,400,4.65417E+13,,,,,,,,,,,,,,
401,4.57724E+13,,401,4.65825E+13,,,,,,,,,,,,,,
402,4.57881E+13,,402,4.66232E+13,,,,,,,,,,,,,,
403,4.58037E+13,,403,4.66638E+13,,,,,,,,,,,,,,
404,4.58193E+13,,404,4.67043E+13,,,,,,,,,,,,,,
405,4.58349E+13,,405,4.67447E+13,,,,,,,,,,,,,,
406,4.58506E+13,,406,4.67851E+13,,,,,,,,,,,,,,
407,4.58663E+13,,407,4.68253E+13,,,,,,,,,,,,,,
408,4.58819E+13,,408,4.68655E+13,,,,,,,,,,,,,,
409,4.58976E+13,,409,4.69056E+13,,,,,,,,,,,,,,
410,4.59133E+13,,410,4.69457E+13,,,,,,,,,,,,,,
411,4.5929E+13,,411,4.69856E+13,,,,,,,,,,,,,,
412,4.59447E+13,,412,4.70255E+13,,,,,,,,,,,,,,
413,4.59604E+13,,413,4.70653E+13,,,,,,,,,,,,,,
414,4.59762E+13,,414,4.7105E+13,,,,,,,,,,,,,,
415,4.59919E+13,,415,4.71447E+13,,,,,,,,,,,,,,
416,4.60076E+13,,416,4.71842E+13,,,,,,,,,,,,,,
417,4.60234E+13,,417,4.72237E+13,,,,,,,,,,,,,,
